System,Driver,Min,P25,P50,P75,P85,P95,P99,Max,Mean,StdDev,GeometricMean
Theta 2021,RLScheduler,1.4833,535.9333,787.3833,1387.3500,1914.6000,3996.3467,10998.5113,101179.9167,1399.0469,2688.5185,861.6021
Theta 2021,Random,0.0167,28.7333,112.3083,321.0583,524.3550,963.7708,1554.6707,3680.5833,246.4703,341.6015,83.3192
Theta 2021,WFP,0.1167,347.4667,808.2833,1942.9667,3082.3250,5887.6417,9041.3907,11584.2500,1559.1084,1925.9430,703.7047
Theta 2021,MARS-CW,0.0167,11.9167,56.3000,265.5083,504.8917,1200.2000,2386.8550,12719.4667,261.5973,605.0958,47.5857
Theta 2021,MARS-CU,0.0167,46.7500,191.4167,562.5000,858.3833,1786.1300,2850.4780,6308.3500,435.6704,635.4557,137.1619
Theta 2021,FCFS,0.0167,439.5333,1543.5500,3506.4667,4650.0333,7691.3667,9799.1233,13480.3000,2354.2824,2416.8914,986.2006
Theta 2021,SJF,0.0167,27.0958,100.9083,329.9792,568.5667,986.4583,1419.4817,3855.6500,250.4094,345.2194,79.7961
Theta 2021,F1,0.0167,20.7583,87.9333,233.5750,377.7667,671.2083,1213.4517,3680.5833,182.7980,251.4640,61.7262
Polaris 2024,RLScheduler,0.0167,147.2500,308.3500,587.4000,796.4350,1381.9875,2131.4168,2822.8167,450.0582,449.9980,257.4061
Polaris 2024,Random,0.0167,49.5500,149.1333,353.0000,497.0067,884.3233,1402.8500,5443.9500,253.1581,306.1871,111.8440
Polaris 2024,WFP,0.0167,109.9000,369.5333,1090.7750,1597.6200,3285.3083,5443.9400,6040.9167,809.6598,1095.3612,298.9828
Polaris 2024,MARS-CW,0.0167,25.2708,117.3083,374.3833,606.7500,1193.7392,2040.1413,5443.9500,293.4210,443.3098,82.9588
Polaris 2024,MARS-CU,0.0167,58.8583,178.4500,435.7417,671.7658,1218.3192,1712.4157,5443.9500,322.4565,396.5754,130.0221
Polaris 2024,FCFS,0.0167,134.7750,452.6333,1151.4583,1738.2042,2976.5167,4891.6250,6902.0333,842.8330,1016.2417,357.2504
Polaris 2024,SJF,0.0167,49.1500,185.5667,477.7583,680.1717,1288.1400,2008.5960,5443.9500,343.2221,433.9274,133.8501
Polaris 2024,F1,0.0167,40.8667,125.7250,290.4167,421.2458,732.9667,1062.6533,5443.9500,210.8483,259.8325,89.8640
