System,Driver,Min,P25,P50,P75,P85,P95,P99,Max,Mean,StdDev,GeometricMean
Theta 2021,RLScheduler,47.1333,2437.9000,8733.7333,52212.8833,115838.4833,179546.9400,245473.4440,348157.4333,40759.2532,62177.9155,10616.8058
Theta 2021,Random,0.1500,907.5458,3714.8500,17109.6708,38199.1750,132538.5083,252440.6500,403275.6833,23626.1079,51833.2099,3517.0868
Theta 2021,WFP,2.6833,1354.3667,3383.8500,8351.9083,11889.1083,19207.0167,26099.9533,37691.2833,5841.8103,6153.5458,3045.4843
Theta 2021,MARS-CW,0.2000,471.8042,1997.0000,14960.3667,91293.4033,449683.0525,597086.1612,614354.2333,58163.6900,138400.2424,2688.5745
Theta 2021,MARS-CU,0.6667,1250.0333,4389.3167,13329.6708,23047.8683,76983.0633,175946.6422,199093.2500,15262.7832,30923.1600,3651.3434
Theta 2021,FCFS,3.1000,2695.8333,6035.9333,9868.9333,12572.1317,16451.0567,21539.9033,23975.3667,6885.4774,5141.8873,4278.0606
Theta 2021,SJF,0.2833,437.0167,1049.6000,30087.7667,96634.4700,137778.7133,144742.4053,147373.1000,27017.3437,47390.3646,2319.7554
Theta 2021,F1,0.3167,851.5500,3230.4333,19400.9167,41821.2533,148072.2800,425247.9227,552442.2000,30437.7477,77199.0331,3600.4011
Polaris 2024,RLScheduler,6.3333,368.2375,915.2750,2489.5750,5235.9792,23481.9883,104758.4842,164266.0833,5280.5294,17080.3906,1067.0714
Polaris 2024,Random,0.4167,666.6958,2517.6333,9009.1583,13570.5900,22905.8550,34395.8508,56994.1667,6179.1909,8183.4307,2016.3751
Polaris 2024,WFP,0.5833,352.3917,794.7167,2218.3000,4079.4450,9422.8583,18269.7050,30423.3167,2222.2994,3744.1907,827.0453
Polaris 2024,MARS-CW,0.3500,349.0542,1075.2083,4611.1542,12265.6417,37200.1683,86866.2772,155081.3167,6920.0194,16957.1446,1118.4098
Polaris 2024,MARS-CU,0.8667,612.3833,2337.0500,8135.7833,12398.0100,18626.6567,27643.7087,35879.0333,5149.0889,6355.0890,1714.0685
Polaris 2024,FCFS,0.8667,717.3542,2160.5667,5095.1375,6059.0292,11183.4975,19178.4022,25805.1000,3378.7794,3792.0299,1582.6508
Polaris 2024,SJF,0.5000,234.4333,614.9333,2446.6333,5994.2000,25517.3333,38599.6640,58930.0833,3900.8538,8484.0867,703.6823
Polaris 2024,F1,0.8667,556.2000,1831.3167,6517.5583,10959.5633,30731.0567,54385.9127,78629.1500,6086.4226,10642.7716,1693.8661
